state,code,USPS_Code,lat,long,pop2017
Alabama,1,AL,32.806671,-86.79113,4874747
Alaska,2,AK,61.370716,-152.404419,739795
Arizona,4,AZ,33.729759,-111.431221,7016270
Arkansas,5,AR,34.969704,-92.373123,3004279
California,6,CA,36.116203,-119.681564,39536653
Colorado,8,CO,39.059811,-105.311104,5607154
Connecticut,9,CT,41.597782,-72.755371,3588184
Delaware,10,DE,39.318523,-75.507141,961939
District of Columbia,11,DC,38.897438,-77.026817,693972
Florida,12,FL,27.766279,-81.686783,20984400
Georgia,13,GA,33.040619,-83.643074,10429379
Hawaii,15,HI,21.094318,-157.498337,1427538
Idaho,16,ID,44.240459,-114.478828,1716943
Illinois,17,IL,40.349457,-88.986137,12802023
Indiana,18,IN,39.849426,-86.258278,6666818
Iowa,19,IA,42.011539,-93.210526,3145711
Kansas,20,KS,38.5266,-96.726486,2913123
Kentucky,21,KY,37.66814,-84.670067,4454189
Louisiana,22,LA,31.169546,-91.867805,4684333
Maine,23,ME,44.693947,-69.381927,1335907
Maryland,24,MD,39.063946,-76.802101,6052177
Massachusetts,25,MA,42.230171,-71.530106,6859819
Michigan,26,MI,43.326618,-84.536095,9962311
Minnesota,27,MN,45.694454,-93.900192,5576606
Mississippi,28,MS,32.741646,-89.678696,2984100
Missouri,29,MO,38.456085,-92.288368,6113532
Montana,30,MT,46.921925,-110.454353,1050493
Nebraska,31,NE,41.12537,-98.268082,1920076
Nevada,32,NV,38.313515,-117.055374,2998039
New Hampshire,33,NH,43.452492,-71.563896,1342795
New Jersey,34,NJ,40.298904,-74.521011,9005644
New Mexico,35,NM,34.840515,-106.248482,2088070
New York,36,NY,42.165726,-74.948051,19849399
North Carolina,37,NC,35.630066,-79.806419,10273419
North Dakota,38,ND,47.528912,-99.784012,755393
Ohio,39,OH,40.388783,-82.764915,11658609
Oklahoma,40,OK,35.565342,-96.928917,3930864
Oregon,41,OR,44.572021,-122.070938,4142776
Pennsylvania,42,PA,40.590752,-77.209755,12805537
Rhode Island,44,RI,41.680893,-71.51178,1059639
South Carolina,45,SC,33.856892,-80.945007,5024369
South Dakota,46,SD,44.299782,-99.438828,869666
Tennessee,47,TN,35.747845,-86.692345,6715984
Texas,48,TX,31.054487,-97.563461,28304596
Utah,49,UT,40.150032,-111.862434,3101833
Vermont,50,VT,44.045876,-72.710686,623657
Virginia,51,VA,37.769337,-78.169968,8470020
Washington,53,WA,47.400902,-121.490494,7405743
West Virginia,54,WV,38.491226,-80.954453,1815857
Wisconsin,55,WI,44.268543,-89.616508,5795483
Wyoming,56,WY,42.755966,-107.30249,579315
